Date,Open,High,Low,Close
24-June-2009,14376.82,14479.82,14207.02,14422.73,
25-June-2009,14476.15,14578.46,14261.14,14345.62,
26-June-2009,14373.57,14781.94,14373.57,14764.64,
29-June-2009,14815.90,14955.55,14685.45,14785.74,
30-June-2009,14830.97,14907.48,14420.41,14493.84,
1-July-2009,14506.43,14727.49,14355.52,14645.47,
2-July-2009,14694.31,14764.35,14469.69,14658.49,
3-July-2009,14552.72,14945.85,14499.74,14913.05,
6-July-2009,14962.12,15097.87,13959.44,14043.40,
7-July-2009,14103.65,14251.88,14000.68,14170.45,
8-July-2009,14039.58,14039.58,13701.76,13769.15,
9-July-2009,13796.19,13879.18,13643.97,13757.46,
10-July-2009,13803.12,13897.19,13418.39,13504.22,
13-July-2009,13405.95,13461.68,13219.99,13400.32,
14-July-2009,13549.42,13903.48,13549.42,13853.70,
15-July-2009,13917.27,14299.54,13891.04,14253.24,
16-July-2009,14351.97,14493.10,14169.58,14250.25,
17-July-2009,14325.58,14800.70,14325.58,14744.92,
20-July-2009,14854.17,15209.36,14854.17,15191.01,
21-July-2009,15218.83,15234.21,14955.88,15062.49,
22-July-2009,15124.92,15369.42,14786.58,14843.12,
23-July-2009,15008.78,15264.84,14997.75,15231.04,
24-July-2009,15272.01,15418.61,15168.52,15378.96,
27-July-2009,15350.89,15463.09,15228.46,15375.04,
28-July-2009,15428.50,15463.46,15240.53,15331.94,
29-July-2009,15293.19,15379.43,14888.41,15173.46,
30-July-2009,15169.23,15409.91,15065.48,15387.96,
31-July-2009,15449.47,15732.81,15449.47,15670.31,
3-August-2009,15694.78,15963.36,15608.40,15924.23,
4-August-2009,15940.10,16002.46,15699.13,15830.98,
5-August-2009,15882.39,15973.10,15695.11,15903.83,
6-August-2009,15881.47,15969.81,15443.22,15514.03,
7-August-2009,15440.95,15501.94,15104.00,15160.24,
10-August-2009,15287.14,15417.34,14902.02,15009.77,
11-August-2009,15000.38,15218.65,14864.23,15074.59,
12-August-2009,14953.44,15043.62,14701.05,15020.16,
13-August-2009,15207.96,15545.13,15207.96,15518.49,
14-August-2009,15530.38,15535.47,15367.61,15411.63,
17-August-2009,15284.23,15284.23,14740.63,14784.92,
18-August-2009,14745.80,15134.51,14740.26,15035.26,
19-August-2009,15079.04,15096.94,14684.45,14809.64,
20-August-2009,14930.05,15145.00,14928.18,15012.32,
21-August-2009,14951.49,15275.17,14835.08,15240.83,
24-August-2009,15362.93,15676.35,15362.93,15628.75,
25-August-2009,15573.91,15735.32,15423.39,15688.47,
26-August-2009,15763.09,15831.49,15695.94,15769.85,
27-August-2009,15711.80,15853.71,15685.49,15781.07,
28-August-2009,15770.19,15957.67,15663.35,15922.34,
31-August-2009,15812.15,15821.35,15589.80,15666.64,
1-September-2009,15691.27,15923.09,15475.28,15551.19,
2-September-2009,15482.05,15628.10,15392.68,15467.46,
3-September-2009,15539.34,15598.18,15356.72,15398.33,
4-September-2009,15425.86,15740.83,15358.94,15689.12,
7-September-2009,15793.27,16035.50,15793.27,16016.32,
8-September-2009,16030.56,16232.16,16030.56,16123.67,
9-September-2009,16111.09,16215.74,16044.77,16183.55,
10-September-2009,16295.92,16434.77,16166.42,16216.86,
11-September-2009,16254.57,16337.98,16130.32,16264.30,
14-September-2009,16185.26,16252.18,16119.95,16214.19,
15-September-2009,16255.42,16477.23,16255.42,16454.45,
16-September-2009,16498.59,16700.56,16498.59,16677.04,
17-September-2009,16686.38,16820.02,16636.55,16711.11,
18-September-2009,16650.05,16765.03,16610.05,16741.30,
22-September-2009,16805.22,16943.49,16763.78,16886.43,
23-September-2009,16905.50,16905.58,16683.78,16719.50,
24-September-2009,16634.08,16834.10,16494.92,16781.43,
25-September-2009,16679.99,16812.02,16613.22,16693.00,
29-September-2009,16829.11,16907.84,16802.80,16852.91,
30-September-2009,16868.46,17142.52,16868.46,17126.84,
1-October-2009,17186.20,17195.61,17059.36,17134.55,
5-October-2009,17062.01,17062.01,16835.80,16866.41,
6-October-2009,16879.38,16988.56,16622.05,16958.54,
7-October-2009,17069.42,17120.56,16764.07,16806.66,
8-October-2009,16908.02,16998.52,16775.36,16843.54,
9-October-2009,16915.96,16963.08,16606.95,16642.66,
12-October-2009,16687.32,17068.78,16687.32,17026.67,
14-October-2009,17117.90,17274.59,17117.90,17231.11,
15-October-2009,17274.07,17350.39,17092.83,17195.20,
16-October-2009,17196.80,17347.85,17126.55,17322.82,
17-October-2009,17452.56,17493.17,17260.66,17326.01,
20-October-2009,17414.80,17457.26,17185.04,17223.01,
21-October-2009,17229.72,17248.69,16997.86,17009.17,
22-October-2009,17031.54,17031.54,16721.26,16789.74,
23-October-2009,16795.66,17006.77,16765.20,16810.81,
26-October-2009,16808.05,16938.88,16706.08,16740.50,
27-October-2009,16699.09,16699.09,16311.50,16353.40,
